species,iucnRedListCategory
Duellmanohyla rufioculis,LC
Leptodactylus poecilochilus,LC
Pristimantis caryophyllaceus,LC
Agalychnis spurrelli,LC
Smilisca puma,LC
Craugastor taurus,EN
Incilius coniferus,LC
Hyalinobatrachium fleischmanni,LC
Atelopus chiriquiensis,EX
Bolitoglossa diminuta,LC
Bolitoglossa aurae,DD
Sachatamia ilex,LC
Silverstoneia flotator,LC
Allobates talamancae,LC
Craugastor rugosus,LC
Oscaecilia osae,LC
Ecnomiohyla miliaria,LC
Triprion spinosus,NT
Bolitoglossa compacta,EN
Atelopus senex,EX
Craugastor gulosus,CR
Dendrobates auratus,LC
Boana rosenbergi,LC
Craugastor podiciferus,LC
Bolitoglossa subpalmata,LC
Bolitoglossa bramei,LC
Cruziohyla sylviae,LC
Diasporus amirae,LC
Hypopachus pictiventris,LC
Isthmohyla pseudopuma,LC
Oedipina pseudouniformis,DD
Bolitoglossa robusta,VU
Engystomops pustulosus,LC
Isthmohyla angustilineata,CR
Craugastor talamancae,LC
Craugastor angelicus,CR
Nototriton richardi,LC
Leptodactylus savagei,LC
Craugastor escoces,CR
Bolitoglossa sombra,NT
Pristimantis cruentus,LC
Craugastor persimilis,LC
Leptodactylus melanonotus,LC
Craugastor cuaquero,DD
Bolitoglossa cerroensis,LC
Hypopachus variolosus,LC
Cochranella euknemos,LC
Incilius melanochlorus,LC
Diasporus diastema,LC
Oedipina cyclocauda,NT
Oedipina uniformis,LC
Ctenophryne aterrima,LC
Craugastor fitzingeri,LC
Oedipina grandis,EN
Eleutherodactylus coqui,LC
Trachycephalus vermiculatus,NE
Craugastor underwoodi,LC
Bolitoglossa gracilis,LC
Dermophis glandulosus,LC
Lithobates berlandieri,LC
Nototriton abscondens,LC
Incilius periglenes,EX
Incilius valliceps,LC
Oophaga granulifera,VU
Smilisca phaeota,LC
Craugastor crassidigitus,LC
Pristimantis gaigei,LC
Craugastor stejnegerianus,LC
Leptodactylus bolivianus,LC
Bolitoglossa sooyorum,EN
Hyalinobatrachium talamancae,LC
Pristimantis ridens,LC
Nototriton guanacaste,LC
Gastrotheca cornuta,EN
Diasporus tigrillo,NT
Silverstoneia nubicola,VU
Oedipina collaris,DD
Caecilia volcani,LC
